date,open,high,low,close,volume,bar_count,average
20220428  10:13:00,402.06,402.535,401.46,402.035,,,
20220428  10:14:00,402.035,402.745,401.72,401.93,,,
20220428  10:15:00,401.93,402.065,401.275,402.055,,,
20220428  10:16:00,402.055,403.325,400.91,403.155,,,
20220428  10:17:00,403.155,403.435,402.355,402.755,,,
20220428  10:18:00,402.755,403.32,402.34,403.17,,,
20220428  10:19:00,403.17,403.82,403.045,403.73,,,
20220428  10:20:00,403.73,403.885,402.595,403.395,,,
20220428  10:21:00,403.395,403.62,403.095,403.485,,,
20220428  10:22:00,403.485,404.43,402.445,402.725,,,
20220428  10:23:00,402.725,403.045,401.9,402.135,,,
20220428  10:24:00,402.135,402.305,401.525,401.8,,,
20220428  10:25:00,401.8,401.925,400.91,401.08,,,
20220428  10:26:00,401.08,401.65,400.985,401.39,,,
20220428  10:27:00,401.39,401.39,400.325,400.685,,,
20220428  10:28:00,400.685,401.295,400.52,400.88,,,
20220428  10:29:00,400.88,401.145,399.845,400.025,,,
20220428  10:30:00,400.025,400.68,400.02,400.275,,,
20220428  10:31:00,400.275,400.385,400.14,400.325,,,
20220428  10:32:00,400.135,400.49,399.655,399.945,,,
20220428  10:33:00,399.945,400.04,399.625,399.735,,,
20220428  10:34:00,399.485,400.24,399.1,399.23,,,
20220428  10:35:00,399.23,399.55,398.855,399.55,,,
